Sales_ID,Movie_ID,Release_Date,domestic_box_office,international_box_office,worldwide_box_office,P_budget,Opening_weekend,Theatre_count
227,,11 26 2021,n/a,440,440,,,
228,,03 9 2001,24375436,31956428,56331864,42000000,,
229,,07 16 2021,n/a,356854,356854,,,
230,,08 10 2018,n/a,357,357,,,
231,,11 7 2019,n/a,,,,17509431,2588
232,,03 3 2006,36895141,28700000,65595141,45000000,,
233,,10 5 2018,n/a,104117,104117,,,
234,,10 1 2014,n/a,,,,,
235,,09 3 2010,11574,,,1000000,,
236,,04 17 2009,64167069,75307837,139474906,40000000,,
237,,02 19 2021,n/a,,,,,
238,,09 21 2012,15002,57996,72998,,,
239,,06 3 2011,n/a,,,,,
240,,05 25 2001,n/a,,,,,
241,,05 2 2003,25611,,,,,
242,,01 2 2020,n/a,3381374,3381374,,,
243,,11 6 2020,n/a,,,,,
244,,01 24 2020,n/a,92259,92259,,,
245,,05 21 2010,31745,,,,224476,4
246,,11 15 2019,n/a,2865552,2865552,,,
247,,10 19 2017,n/a,,,,9816197,1247
248,,03 3 2016,2848,1992197,1995045,,,
249,,03 15 2019,n/a,423475,423475,,,
250,,05 6 2016,n/a,21016,21016,,,
251,,10 11 2018,n/a,28611,28611,,,
252,,04 27 2018,n/a,287,287,,,
253,,09 3 2021,n/a,1680000,1680000,,,
254,,05 5 2017,n/a,754,754,,,
255,,09 11 2015,n/a,60000,60000,,,
256,,11 11 2021,n/a,76025,76025,,,
257,,12 18 2017,n/a,51775357,51775357,,,
258,,10 31 2018,n/a,34298,34298,,,
259,,08 18 2000,6234,,,,526011,9
260,,05 3 2013,n/a,,,,,
261,,06 6 2014,5030,21319,26349,,,
262,,08 10 2012,633210,6785462,7418672,,,
263,,06 6 2003,127120058,109290549,236410607,76000000,2349967,271
264,,10 7 2005,22991379,7500000,30491379,20000000,,
265,,12 6 2019,n/a,,,,,
266,,08 2 2013,75612460,56880555,132493015,61000000,,
267,,10 16 2020,1349284,,,,,
268,,11 3 2000,14940,,,,,
269,,04 18 2014,2238175,,,,22849,3
270,,09 4 2020,n/a,19884,19884,,,
271,,09 2 2016,n/a,55420,55420,,,
272,,10 27 2006,6635,,,,,
273,,06 14 2013,4946250,946216,5892466,1000000,,
274,,04 13 2018,n/a,,,,,
275,,09 17 2014,279558,1701281,1980839,,3287451,2902
276,,06 14 2013,9338,,,,,
277,,06 9 2021,n/a,35386,35386,,,
278,,02 16 2007,335090,,,,,
279,,02 6 2009,644635,,,,,
280,,02 19 2010,1018169,,,,,
281,,02 11 2011,1352152,,,,,
282,,02 10 2012,1702415,,,,,
283,,04 9 2010,68339,,,,,
284,,02 1 2013,2142342,,,,,
285,,01 31 2014,2357890,,,,,
286,,01 30 2015,2412493,,,,,
287,,01 29 2016,2816816,,,,,
288,,10 6 2017,n/a,8811,8811,,,
289,,07 13 2012,33349941,,,2500000,10238,4
290,,08 10 2017,n/a,1142841,1142841,,21654047,3550
291,,02 10 2017,2835355,2393,2837748,,,
292,,01 19 2018,n/a,99304,99304,,,
293,,02 9 2018,3508777,2345,3511122,,,
294,,02 8 2019,3531093,,,,35363376,3813
295,,01 8 2021,n/a,160000,160000,,,
296,,01 17 2020,n/a,84633,84633,,,
297,,12 17 2020,n/a,80428,80428,,,
298,,10 10 2020,n/a,150000,150000,,,
299,,09 19 2020,n/a,60000,60000,,,
300,,01 29 2020,3304748,,,,,
301,,03 20 2021,n/a,130000,130000,,,
302,,11 7 2021,n/a,30000,30000,,4954287,2668
303,,01 9 2021,n/a,100000,100000,,,
304,,05 29 2021,n/a,100000,100000,,,
305,,04 2 2021,443050,,,,,
306,,05 22 2021,n/a,160000,160000,,,
307,,05 12 2021,n/a,28950,28950,,,
308,,06 8 2018,n/a,,,,,
309,,12 25 2016,5664763,3688966,9353729,7000000,,
310,,03 1 2013,25682380,16513386,42195766,13000000,636,3
311,,11 22 2019,28539757,14123703,42663460,33000000,19928525,3447
312,,11 21 2003,16248701,43418924,59667625,20000000,,
313,,03 16 2012,138447667,64364762,202812429,42000000,,
314,,04 20 2018,n/a,17241380,17241380,,,
315,,12 6 2019,n/a,,,,,
316,,11 7 2014,n/a,,,,39584,21
317,,01 3 2020,n/a,2467,2467,,36169328,3765
318,,09 8 2017,n/a,224465,224465,,,
319,,09 3 2020,n/a,3495,3495,,,
320,,06 13 2014,191719337,139614539,331333876,50000000,,
321,,06 9 2017,n/a,21001632,21001632,,,
322,,06 6 2019,n/a,20497,20497,,,
323,,10 24 2014,549185,,,1000000,,
324,,09 17 2020,n/a,564262,564262,,,
325,,10 6 2017,n/a,,,,,
326,,09 23 2016,n/a,288422,288422,,,
327,,06 5 2009,30799,11830,42629,,,
328,,01 24 2014,n/a,,,,,
329,,02 2 2018,34483,2563,37046,,,
330,,08 9 2002,1169030,2435935,3604965,,155714,6
331,,12 1 2017,n/a,5840146,5840146,,,
332,,04 24 2015,n/a,,,,6489983,2607
333,,06 23 2017,n/a,20254,20254,,,
334,,08 26 2016,n/a,17391,17391,,,
335,,10 31 2018,n/a,10323404,10323404,,1737,1
336,,09 18 2020,n/a,4079808,4079808,,,
337,,12 19 2002,13084595,12259895,25344490,4500000,,
338,,01 13 2008,76808654,83439151,160247805,30000000,,
339,,01 5 2018,n/a,131003,131003,,,
340,,04 14 2000,37035515,25028457,62063972,43000000,,
341,,06 27 2003,45064915,37890718,82955633,8000000,,
342,,11 24 2017,n/a,41413,41413,,2770,10
343,,11 9 2012,18869,,,,,
344,,11 18 2016,n/a,6457240,6457240,,,
345,,05 11 2007,28638916,35593798,64232714,15000000,,
346,,03 11 2018,n/a,,,,,
347,,03 22 2014,n/a,,,,,
348,,06 19 2015,29725,8856,38581,,5722,8
349,,03 11 2011,39475,,,300000,,
350,,02 13 2015,182522,257389,439911,,,
351,,02 21 2014,30697999,8261901,38959900,28000000,,
352,,09 13 2019,n/a,,,,,
353,,09 16 2019,n/a,119009,119009,3000000,,
354,,05 22 2013,n/a,,,,,
355,,06 2 2017,1249233,6489237,7738470,,,
356,,12 23 2009,6533849,63000000,69533849,,,
357,,09 13 2019,n/a,13505,13505,,,
358,,12 1 2006,n/a,,,,,
359,,02 6 2015,1297,,,,,
360,,03 9 2018,n/a,407780,407780,,91915,16
361,,03 1 2000,9821335,,,4000000,,
362,,01 23 2015,n/a,1611854,1611854,,,
363,,04 13 2018,n/a,1882288,1882288,,,
364,,05 21 2021,n/a,,,,,
365,,05 18 2018,n/a,1964,1964,,,
366,,09 16 2016,29245,,,,,
367,,09 28 2018,n/a,,,,,
368,,10 12 2012,n/a,,,,,
369,,09 2 2007,53606916,17564909,71171825,48000000,,
370,,07 20 2012,14686,38095,52781,,,
371,,09 15 2000,13753,,,,194777,4
372,,10 19 2007,39568996,40707160,80276156,30000000,,
373,,04 8 2016,n/a,,,,,
374,,10 2 2020,n/a,18613,18613,,,
375,,10 20 2020,n/a,11323660,11323660,,,
376,,08 12 2011,37053924,4093011,41146935,28000000,,
377,,01 28 2021,n/a,6139,6139,,,
378,,02 4 2016,n/a,1560915,1560915,,,
379,,07 28 2017,27739,,,,407119,113
380,,06 7 2002,99023,,,,,
381,,02 6 2015,n/a,261838,261838,,3080,1
382,,03 7 2014,106580051,224200000,330780051,110000000,,
383,,02 23 2001,15738632,2970216,18708848,62000000,,
384,,09 28 2018,18399,,,,,
385,,09 29 2017,n/a,,,,,
386,,08 17 2018,65524,1259,66783,,,
387,,03 11 2019,238791,,,,,
388,,10 21 2016,n/a,6940,6940,,,
389,,12 1 2017,n/a,,,,,
390,,05 17 2013,n/a,,,,,
391,,05 20 2011,113804,,,,,
392,,09 18 2009,177511,1698,179209,,,
393,,09 6 2013,n/a,,,,,
394,,05 15 2015,n/a,46138,46138,,,
395,,07 9 2010,33216,,,,5559,2
396,,02 7 2020,n/a,9458333,9458333,,,
397,,11 23 2005,28125,2135,30260,,,
398,,03 6 2020,n/a,1776645,1776645,,,
399,,08 12 2011,152365,5458536,5610901,,,
400,,04 21 2017,n/a,2745799,2745799,,,
401,,03 17 2017,n/a,1172600,1172600,,,
402,,01 16 2020,n/a,42,42,,,
403,,03 1 2019,n/a,455851,455851,,,
404,,01 25 2008,1196321,10796835,11993156,900000,,
405,,11 22 2019,n/a,2654,2654,,220009584,4232
406,,08 1 2014,n/a,,,,185546,17
407,,03 23 2012,17801,19105,36906,,18833,15
408,,03 1 2002,37939782,57152885,95092667,17000000,,
409,,12 2 2014,n/a,,,900000,,
410,,08 3 2018,n/a,,,,,
411,,11 21 2019,n/a,2016982,2016982,,,
412,,01 21 2021,n/a,7038,7038,,,
413,,01 15 2010,39033,,,,8805843,3006
414,,09 6 2019,n/a,24937,24937,,,
415,,12 23 2015,4250507,10025087,14275594,,,
416,,11 6 2020,n/a,647074,647074,,,
417,,06 16 2017,44307193,18326512,62633705,5300000,,
418,,08 16 2019,22260900,25321663,47582563,12000000,80733,4
419,,12 25 2013,38362475,113354340,151716815,175000000,,
420,,05 30 2014,n/a,,,,,
421,,10 6 2006,241772,,,,,
422,,05 12 2017,n/a,1444474,1444474,,,
423,,05 4 2018,n/a,536390,536390,,,
424,,11 12 2021,n/a,160901,160901,,,
425,,04 5 2019,n/a,1272637,1272637,,,
426,,10 21 2016,n/a,20256,20256,,,
427,,08 29 2019,n/a,569543,569543,,,
428,,05 30 2012,109983,173309,283292,,,
429,,02 2 2018,n/a,917,917,,,
430,,05 6 2016,n/a,31704,31704,,,
431,,08 19 2011,17479,70314,87793,12000000,,
432,,05 8 2015,1020921,3371673,4392594,,,
433,,11 20 2020,n/a,1683,1683,,,
434,,11 19 2015,n/a,7082,7082,,,
435,,04 3 2015,137112,451230,588342,,,
436,,10 26 2018,n/a,11578,11578,,,
437,,05 1 2015,n/a,710612,710612,,57837,27
438,,05 16 2018,n/a,65807,65807,,,
439,,01 11 2019,n/a,143,143,,,
440,,02 13 2004,120776832,75543497,196320329,75000000,,
441,,06 1 2018,n/a,11352181,11352181,,,
442,,03 21 2014,1069454,,,10000000,,
443,,06 2 2006,4800,,,,,
444,,09 30 2011,35016118,6318617,41334735,8000000,,
445,,07 12 2017,n/a,,,,,
446,,10 18 2006,84689,,,350000,,
447,,10 9 2009,1053966,,,,,
448,,06 16 2017,n/a,201172,201172,,,
449,,03 27 2015,4484,19787,24271,,,
450,,07 5 2019,n/a,10131,10131,,,
451,,05 3 2018,n/a,,,,,
452,,01 4 2013,701278,,,,,
453,,10 13 2011,n/a,,,,,
454,,06 10 2005,128752,7300000,7428752,,3201459,2161
455,,06 14 2019,n/a,,,,,
456,,12 27 2019,n/a,1490925,1490925,,,
457,,10 13 2017,n/a,641499,641499,,,
458,,08 18 2017,n/a,317072,317072,,,
459,,06 1 2012,14057,,,,,
460,,04 5 2013,n/a,708753,708753,,,
461,,01 20 2017,n/a,2604,2604,,,
462,,11 4 2017,n/a,,,,,
463,,12 3 2015,n/a,284803,284803,,,
464,,11 27 2019,483685,,,,,
465,,05 5 2017,n/a,61590,61590,,67873522,4125
466,,08 4 2017,n/a,,,,,
467,,08 20 2020,n/a,59459,59459,,6059,5
468,,04 29 2021,n/a,,,,7559850,3103
469,,02 7 2014,n/a,116390,116390,,,
470,,08 28 2015,28180,,,,,
471,,08 17 2007,16791,,,,,
472,,03 16 2018,3189220,6407229,9596449,,,
473,,09 20 2019,n/a,,,,,
474,,12 25 2021,n/a,1181329,1181329,,,
475,,08 25 2017,n/a,6540,6540,,,
476,,02 23 2018,n/a,7835554,7835554,,,
477,,08 4 2011,n/a,21729647,21729647,,,
478,,09 1 2017,n/a,323784,323784,,,
479,,07 23 2021,n/a,2153,2153,,264155,4
480,,07 24 2015,n/a,,,,,
481,,06 26 2015,n/a,,,,,
482,,09 10 2020,n/a,,,,,
483,,11 4 2016,n/a,595388,595388,,,
484,,04 6 2018,n/a,3690265,3690265,,,
485,,06 15 2020,n/a,3757,3757,,,
486,,11 5 2021,n/a,,,,7479,1
487,,04 5 2019,n/a,95681,95681,,,
488,,02 26 2016,n/a,5267920,5267920,,,
489,,07 13 2018,n/a,,,,,
490,,10 12 2018,n/a,4636694,4636694,,,
491,,04 21 2017,31100,,,,,
492,,03 8 2019,n/a,173064,173064,,,
493,,12 29 2021,n/a,668085,668085,,13401586,3621
494,,05 20 2016,n/a,45996,45996,,,
495,,07 30 2010,159335,19162346,19321681,,,
496,,05 6 2016,n/a,151992,151992,,,
497,,04 2 2020,n/a,2561,2561,,338604,30
498,,12 4 2020,n/a,,,,,
499,,10 13 2017,37664,9166,46830,,,
500,,01 23 2013,n/a,84164423,84164423,,,
501,,11 11 2017,n/a,2470099,2470099,,,
502,,01 17 2003,15629,,,,,
503,,09 2 2020,n/a,1171,1171,,,
504,,08 13 2010,n/a,25015,25015,,,
505,,05 26 2000,417517,,,,,
506,,07 30 2021,n/a,,,100000,,
507,,09 20 2002,3076425,39300000,42376425,8000000,,
508,,10 13 2017,n/a,4962,4962,,,
509,,03 3 2016,n/a,4085444,4085444,,,
510,,11 8 2002,116724075,129044309,245768384,41000000,,
511,,01 1 2015,n/a,5977612,5977612,,,
512,,11 24 2018,n/a,,,,,
513,,09 25 2015,n/a,17353,17353,,,2
514,,06 18 2010,100280,,,2500000,,
515,,10 29 2004,866,,,,,
516,,03 5 2020,n/a,,,,,
517,,10 23 2020,n/a,1180000,1180000,,,
518,,10 23 2019,n/a,27728261,27728261,,,
519,,04 10 2020,n/a,1986331,1986331,,,
520,,04 18 2008,16930884,16024515,32955399,30000000,,
521,,12 15 2017,n/a,24326715,24326715,,,
522,,10 12 2018,n/a,329,329,,,
523,,04 4 2013,154485,17633270,17787755,,,
524,,07 22 2005,49835,265470,315305,,,
525,,02 7 2019,n/a,767896,767896,,,
526,,11 8 2020,n/a,,,,8715,4
527,,09 11 2015,4816142,,,5000000,,
528,,07 25 2018,76056,,,,,
529,,04 7 2006,3195,,,,,
530,,04 27 2012,n/a,,,,,
531,,05 26 2017,n/a,,,,24600,3
532,,09 3 2020,n/a,,,,,
533,,06 6 2008,79477,11400000,11479477,,125570,5
534,,09 25 2015,1411927,577700,1989627,,,
535,,04 15 2021,n/a,10358,10358,,,
536,,09 6 2013,n/a,,,,,
537,,03 4 2021,n/a,64,64,,,
538,,06 1 2016,2313043,,,,,
539,,09 28 2018,n/a,1509,1509,,,
540,,11 30 2017,n/a,,,,796,1
541,,02 14 2021,n/a,,,,,
542,,11 1 2017,72110659,55599891,127710550,28000000,,
543,,05 11 2012,n/a,,,,,
544,,10 14 2015,131995,558,132553,,,
545,,06 28 2013,127257,,,,,
546,,11 22 2019,61696436,6853786,68550222,45000000,,
547,,12 21 2001,170708996,146959062,317668058,78000000,,
548,,09 2 2016,1714,,,,,
549,,04 29 2016,15650615,10074816,25725431,,,
550,,04 23 2021,n/a,,,,,
551,,05 4 2012,54008,,,,,
552,,06 23 2017,21031,,,,,
553,,06 24 2011,1759252,124999,1884251,10000000,,
554,,10 9 2015,n/a,,,,,
555,,05 4 2015,2024099,3707238,5731337,,6412,1
556,,09 23 2011,10152,,,,,
557,,12 4 2021,n/a,750000,750000,,,
558,,03 21 2014,n/a,,,,,
559,,05 13 2021,n/a,,,,,
560,,05 15 2015,319391,647801,967192,,,
561,,07 29 2011,708215,8521942,9230157,,185928,26
562,,11 11 2021,n/a,2542336,2542336,,,
563,,07 23 2011,n/a,,,,,
564,,09 1 2017,4550,,,,,
565,,09 14 2018,n/a,,,,,
566,,10 26 2018,n/a,575,575,,,
567,,10 26 2018,n/a,368,368,,,
568,,09 7 2016,n/a,34185,34185,,,
569,,09 17 2021,n/a,12007,12007,,,
570,,07 8 2014,n/a,,,,,
571,,04 8 2016,n/a,6080,6080,,,
572,,10 11 2019,n/a,230761,230761,,,
573,,07 29 2016,n/a,1160000,1160000,,,
574,,10 2 2020,159014,685240,844254,,,
575,,05 8 2015,n/a,633906,633906,,,
576,,07 15 2016,n/a,1129535,1129535,,,
577,,11 10 2017,n/a,1105,1105,,4113,1
578,,01 25 2008,61678,,,,,
579,,02 14 2018,n/a,11746742,11746742,,,
580,,10 23 2021,n/a,,,,,
581,,11 6 2013,n/a,,,,,
582,,07 7 2017,n/a,7651,7651,,166564,2
583,,09 18 2020,n/a,97,97,,,
584,,10 8 2021,n/a,101465,101465,,,
585,,09 14 2016,n/a,53258383,53258383,,,
586,,12 16 2018,n/a,,,,,
587,,12 11 2018,n/a,441322,441322,,,
588,,11 6 2006,n/a,,,,,
589,,11 27 2020,n/a,153811,153811,,,
590,,11 5 2020,n/a,2641835,2641835,,,
591,,10 2 2015,n/a,,,,,
592,,11 13 2015,n/a,126619,126619,,9331,1
593,,01 19 2017,40483,66025,106508,,6536,6
594,,10 30 2020,n/a,1891,1891,,,
595,,07 16 2004,51438175,18674309,70112484,19000000,,
596,,07 13 2012,n/a,,,,,
597,,02 26 2004,n/a,3698,3698,,,
598,,02 15 2008,508695,,,,,
599,,05 13 2011,n/a,,,,,
600,,02 26 2016,n/a,,,,,
601,,06 18 2021,n/a,,,,,
602,,10 5 2018,n/a,,,,,
603,,02 17 2017,8106986,16349994,24456980,,,
604,,11 23 2011,5702083,9105448,14807531,20000000,,
605,,07 30 2021,n/a,,,,,
606,,04 28 2017,n/a,23745,23745,,,
