Cast_ID;Movie_ID;Cast_Members
;56;Anna Louise Sargeant, Bob Frazer, Brian d'Arcy James, Bruce Blain, Danielle Klaudt, Dylan Schmid, Eric Keenleyside, Graeme Duffy, Kaitlyn Bernard, Molly Parker, Neal McDonough, Nikolai Witschl, Patrick Keating, Roan Curtis, Spencer Brown, Tanya Champoux, Thomas Jane
;57;Ági Szirtes, Bence Tasnádi, Dóra Sztarenki, Eszter Nagy-Kálózy, István Znamenák, Iván Angelus, Iván Angelusz, József Szarvas, Marcell Nagy, Péter Rudolf, Tamás Szabó Kimmel
;58;
;59;Aidan Langford, Alex Nicole McConnell, Bill Heck, Bryan Massey, Cory Michael Smith, David Opegbemi, Jamie Chung, Marcus DeAnda, Michael Chiklis, Michael Darby, Ryan Piers Williams, Tina Parker, Virginia Madsen
;60;Alan Blumenfeld, Andrea Gabriel, Celeste Sully, Clayton Hoff, Curtis Webster, Earnestine Phillips, Giles Matthey, Hailey Giles, Hannah Altman, Jerry Ying, Mark Krenik, Naomi Grossman, Nicole Brydon Bloom, Susan Davis, Taylor Nichols
;61;Julian Ovenden, Mía Maestro, Nigel Lindsay, Oliver Dimsdale, Richard E. Grant, Sarah Brightman, Susannah Fielding
;62;
;63;Albert Delpy, Aleksia Landeau, Chris Rock, Julie Delpy
;64;Adam Goldberg, Julie Delpy
;65;Cole Hauser, Paul Walker, Tyrese Gibson
;66;Bill Paxton, Denzel Washington, Edward James Olmos, Fred Ward, Mark Wahlberg, Paula Patton
;67;
;68;
;69;
;70;Darlene Love, Judith Hill, Lisa Fischer, Merry Clayton
;71;Arthur Cave, Blixa Bargeld, Darian Leader, Earl Cave, Kylie Minogue, Nick Cave, Ray Winstone, Susie Bick, Warren Ellis
;72;Chiwetel Ejiofor, John Cusack, Thandiwe Newton
;73;
;74;Faye Wong, Tony Leung Chiu Wai, Ziyi Zhang
;75;Aaron Glenane, Andy McPhee, Checc Musolino, Damian Walshe-Howling, Deborah Mailman, Finn Little, Kodi Smit-McPhee, Leeanna Walsman, Matt Testro, Ryan Kwanten, Sana'a Shaik
;76;Alison Elliott, Annette Bening, Billy Crudup, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Thea Gill, Vitaly Andrew LeBeau
;77;Jim Sturgess, Kate Bosworth, Kevin Spacey
;78;Jonathan Keltz, Justin Chon, Miles Teller, Sarah Wright
;79;Alexander Siddig, Chadwick Boseman, Christian Isaiah, Dale Pavinski, Gary Carr, J.K. Simmons, Jamie Neumann, Jared Ward, John Crann, Joseph D Fisher, Keith David, Louis Cancelmi, Michael Antonio, Sienna Miller, Stephan James, Taylor Kitsch, Toby Hemingway, Victoria Carta
;80;Benicio Del Toro, Naomi Watts, Sean Penn
;81;Channing Tatum, Ice Cube, Jonah Hill
;82;
;83;Amanda Cerny, Cory Hardrict, Dwayne Cameron, Mark Basnight, Michael Bellisario, Michael Rainey Jr., Nicolas Cage, Ori Pfeffer, Sophie Skelton, Weston Cage
;84;Anders Danielsen Lie, Anneke von der Lippe, Caroline Glomnes, Charlotte Bottolfsen Iversen, Hang Tran, Isak Bakli Aglen, Joakim Skarli, Jon Øigarden, Jonas Strand Gravli, Kenan Ibrahimefendic, Lars Arentz-Hansen, Maria Bock, Marit Andreassen, Marita Fjeldheim Wierda
;85;Channing Tatum, Ice Cube, Jonah Hill, Nick Offerman, Peter Stormare
;86;Alexa PenaVega, Becky Ann Baker, Bram Hoover, Dylan Baker, Kim Zimmer, Mark Hapka, Max Adler, Stephen Lang, Timothy Busfield
;87;
;88;
;89;
;90;
;91;Lennie James, Steve Coogan
;92;
;93;Barry Pepper, Edward Norton, Philip Seymour Hoffman
;94;James Marsden, Katherine Heigl
;95;Sandra Bullock
;96;Cillian Murphy, Naomie Harris
;97;
;98;Jeremy Renner, Robert Carlyle, Rose Byrne
;99;
;100;
;101;
;102;
;103;Amber Heard, Connie Nielsen, Hailee Steinfeld, Kevin Costner
;104;Behnaz Jafari, Jafar Panahi, Maedeh Erteghaei, Marziyeh Rezaei, Narges Delaram
;105;Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan
;106;
;107;Shawn Ashmore
;108;Brian Hooks
;109;Charlie Hunnam, Chris Noth, Chris O'Dowd, Lizzy Caplan, Ron Perlman
;110;Ben Foster, Christian Bale, Russell Crowe
;111;
;112;Josh Hartnett, Melissa George
;113;Danny McBride, Jesse Eisenberg, Nick Swardson
;114;David Wenham, Gerard Butler, Lena Headey
;115;Andrew Tiernan, Callan Mulvey, David Wenham, Eva Green, Hans Matheson, Jack O'Connell, Lena Headey, Rodrigo Santoro, Sullivan Stapleton, Yigal Naor
;116;Kevin Costner, Kurt Russell
;117;Annette Ontell, Elan Bogarin, Jonathan Bogarin, Ruby Berube
;118;Jane Carr, Jeffrey Daniel Phillips, Judy Geeson, Lawrence-Hilton Jacobs, Lew Temple, Malcolm McDowell, Richard Brake, Sheri Moon Zombie
;119;
;120;
;121;Anthony Hopkins, Ben Foster, Jude Law, Rachel Weisz
;122;
;123;
;124;Seung-yeon Lee
;125;
;126;Arthur Igual, Bertrand Nadler, Dorothée Blank, Fabienne Babe, Jean-Christophe Bouvet, Laetitia Dosch, Liliane Montevecchi, Marie-France, Nathalie Richard, Pascal Cervo
;127;Anamaria Marinca, Vlad Ivanov
;128;Natasha Lyonne, Paul Hipp, Shanyn Leigh, Willem Dafoe
;129;Josh Hartnett, Shannyn Sossamon
;130;
;131;Alan Tudyk, Andre Holland, Chadwick Boseman, Christopher Meloni, Hamish Linklater, Harrison Ford, Lucas Black, Nicole Beharie, Ryan Merriman, T.R. Knight
;132;
;133;Charlotte Rampling, Tom Courtenay
;134;
;135;Axel Mansilla, Chris J. Johnson, Claire Holt, Mandy Moore, Matthew Modine, Mayra Juarez, Santiago Segura, Yani Gellman
;136;Axel Mansilla, Brec Bassinger, Brianne Tju, Corinne Foxx, Davi Santos, John Corbett, Khylin Rhambo, Nia Long, Sistine Rose Stallone, Sophie Nélisse
;137;Hiroyuki Sanada, Jin Akanishi, Keanu Reeves, Kô Shibasaki, Rinko Kikuchi, Tadanobu Asano
;138;
;139;
;140;
;141;
;142;Cynthia Nixon, Diane Keaton, Morgan Freeman
;143;
;144;Anton Yelchin, Bérénice Marlohe, Lambert Wilson, Olivia Thirlby
;145;Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin
;146;Anna Kendrick, Joseph Gordon-Levitt, Seth Rogen
;147;
;148;
;149;
;150;Stéphane Freiss, Valeria Bruni Tedeschi
;151;Abbi Jacobson, Charlotte Carel, Darrell Keith Harris, Dave Franco, Dawan Owens, Emily Peck, Heidi Sulzman, Jane Kaczmarek, Jen Tullock, Jordan Borges, Madeline Carel, Maya Erskine, Ray Ray Chase, Tim Matheson
;152;Abbie Cornish, Andrew Grainger, Aymen Hamdouchi, Ben Turner, Colin Garlick, Emun Elliott, Jamie Bell, Jared Turner, John Henshaw, Kip Chapman, Mark Strong, Martin Shaw, Nicholas Boulton, Ronan Vibert, Te Kohe Tuhaka, Tim Pigott-Smith
;153;
;154;Frances Conroy, Jeffrey DeMunn, Jonathan Rhys Meyers, Julianne Moore
;155;Adria Arjona, Bahara Golestani, Ben Hardy, Corey Hawkins, Dave Franco, Hélène Cardona, James Murray, Lior Raz, Manuel Garcia-Rulfo, Mélanie Laurent, Peyman Moaadi, Ryan Reynolds, Sebastian Roché, Shubham Saraf, Sitara Attaie, Yuri Kolokolnikov
;156;Andrew Brackfield, Bruce Balden, Charles Furneaux, Jacqueline Bassett, John Brisby, Lynn Johnson, Neil Hughes, Nicholas Hitchon, Peter Davies, Susan Sullivan, Suzanne Dewey, Tony Walker
;157;6ix9ine
;158;Black Phomtong, Tasanawalai Ongartittichai
;159;
;160;
;161;Andrea Deck, Angel Bonanni, Ben Schnetzer, Brontis Jodorowsky, Daniel Brühl, Denis Menochet, Eddie Marsan, Juan Pablo Raba, Kamil Lemieszewski, Lior Ashkenazi, Mark Ivanir, Nonso Anozie, Peter Sullivan, Romeo Visca, Rosamund Pike
;162;
;163;
;164;Christian Malheiros, Lucas Oranmian, Rodrigo Santoro, Vitor Julian
;165;Charlie Murphy, Jack O'Connell, Paul Anderson, Paul Popplewell, Sam Hazeldine, Sam Reid, Sean Harris
;166;
;167;Aurelie Thepaut, Aylin Tezel, Carlo Kitzlinger, Cornel Nussbaum, Filippo Parisi, Hicham Sebiai, Joseph Gordon-Levitt, Max Schimmelpfennig, Murathan Muslu, Nino Porzio, Omid Memar, Passar Hariky, Paul Wollin
;168;
;169;Alan Barnette, Amy E. Duddleston, Danny Elfman, Desi Arnaz, Elizabeth Allan, Frankie Avalon, Guillermo del Toro, Jamie Lee Curtis, Judith Anderson, Judy Bamber, Justin Benson, Leslie Banks, Lucille Ball, Marco Calavita, Martin Balsam, Peggy Ashcroft, Pepijn Caudron, Pete
;170;Amanda Plummer, John Standing, Matthew Delamere, Polly Walker, Toni Collette, Vivian Wu
;171;Brittany Murphy, Eminem, Kim Basinger, Mekhi Phifer
;172;Catherine Deneuve, Danielle Darrieux, Emmanuelle Béart, Fanny Ardant, Isabelle Huppert
;173;
;174;Ángel de Andrés López, Carmen Maura, Sancho Gracia
;175;Al Pacino, Alicia Witt, Ben McKenzie
;176;Crispin Glover, Elijah Wood, Jennifer Connelly
;177;
;178;Kieran O'Brien, Margo Stilley
;179;Bobby Batson, Catherine Carlen, David Clyde Carr, Elizabeth Hunter, Hayden Christensen, Hudson Meek, Kate Bosworth
;180;
;181;Brittany Snow, Evan Ross, Justin Martin, Sharon Morris
;182;Andrew Garfield, Clancy Brown, Laura Dern, Michael Shannon, Noah Lomax
;183;
;184;Cheryl Hines, Christine Baranski, David Walton, Jay Hernandez, Justin Hartley, Kathryn Hahn, Kristen Bell, Mila Kunis, Oona Laurence, Peter Gallagher, Susan Sarandon
;185;Chandler Canterbury, Jake Sandvig, Jason Ritter, Rebecca Hall
;186;Batyste Fleurial, Bernard Campan, César Domboy, Christian Clavier, Dorian Le Clech, Elsa Zylberstein, Emile Berling, Ilian Bergala, Kev Adams, Patrick Bruel
;187;Bobby Hackney, Dannis Hackney, David Hackney
;188;Carmen Cusack, Chris Cooper, Christine Lahti, Crystal Lonneberg, Enrico Colantoni, Kevin L. Johnson, Maddie Corman, Maryann Plunkett, Matthew Rhys, Noah Harpster, Rebecca Watson, Sakina Jaffrey, Susan Kelechi Watson, Tammy Blanchard, Tom Hanks, Wendy Makkena
;189;
;190;Ed Harris, Russell Crowe
;191;Demián Bichir, José Julián
;192;Dakota Johnson, Matthias Schoenaerts, Ralph Fiennes, Tilda Swinton
;193;
;194;
;195;
;196;Jim Broadbent, Kristen Wiig, Maggie Smith, Michiel Huisman, Rune Temte, Sally Hawkins, Sinead Phelps, Stephen Merchant, Toby Jones, Zoe Margaret Colletti
;197;Lizzie Velasquez
;198;Amy Carlson, Brian Murray, Elaine Bromka, Elisabeth Henry-Macari, George Young, Glynnis O'Connor, James Marsters, Janeane Garofalo, Janet Hsieh, Jessica Pimentel, Nana Visitor, Philip Kerr, Trevor St. John, Tyne Daly, Zachary Sayle
;199;Anni Krueger, Brian Murray, Chris Conroy, Elisabeth Henry-Macari, George Young, Glynnis O'Connor, James Chen, James Marsters, Janet Hsieh, Jessica Pimentel, Nana Visitor, Philip Kerr, Trevor St. John, Tyne Daly, Zachary Sayle
;200;
;201;Andrew Richardson, Laila Robins, Linus Roache, Marc Rissmann, Mathilde Ollivier, Radhika Apte, Rossif Sutherland, Samuel Roukin, Sarah Megan Thomas, Stana Katic
;202;
;203;
;204;Colin Firth, Gary Oldman, Jim Carrey
;205;Catherine Deneuve, Jean-Paul Roussillon, Mathieu Amalric
;206;Damiano Amato, Francesco Pio Amato, Iolanda Amato, Koudous Seihon, Paolo Carpignano, Patrizia Amato, Pio Amato, Rocco Amato, Susanna Amato
;207;Chad Michael Murray, Hilary Duff, Jennifer Coolidge
;208;
;209;
;210;Monica del Carmen, Raúl Briones
;211;
;212;Amanda Crew, Amy Madigan, Audrey Wasilewski, Clifton Collins Jr., Ed Harris, Gillian Vigman, Joanne Froggatt, Michael Mosley, Nicola Lambo, Paul Ben-Victor, Randee Heller, Rich Sommer, Toni Torres
;213;Dane DeHaan, Ivo Nandi, Jason Isaacs, Mia Goth
;214;
;215;Andrew Scott, Becky Wahlstrom, Bronagh Waugh, Catherine Dyer, Christa Beth Campbell, Christian Finlayson, Denise Gough, Griff Furst, J.D. Evermore, Jared Bankens, Jason Davis, Michael Rose, Sandra Ellis Lafferty
;216;
;217;Francis Ford Coppola
;218;
;219;Chris Isaak, Selma Blair, Tracey Ullman
;220;Abby Ryder Fortson, Angela Narth, Arlene Duncan, Betty Gilpin, Daniela Barbosa, Dennis Quaid, Emma Volk, Henry Lau, Ian Chen, Jake Manley, Johnny Galecki, Josh Gad, Kathryn Prescott, Kevin Claydon, Marg Helgenberger
;221;
;222;Alexandra Shipp, Ashley Judd, Barry Watson, Benjamin Ratner, Brian Markinson, Bryce Dallas Howard, Cesar De León, Chris Bauer, Edward James Olmos, Farrah Aviva, Jennifer Gibson, John Cassini, Jonah Hauer-King, Kimi Alexander, Lane Edwards, Leo Chiang, Lucia Walters, Mot
;223;Arthur Igual, Bakary Sangaré, Dali Benssalah, Diane Courseille, Joseph Engel, Kiara Carrière, Laetitia Casta, Lily-Rose Melody Depp, Louis Garrel, Vladislav Galard
;224;Adrian Pasdar, Bresha Webb, Cicely Tyson, Crystal R. Fox, James William Ballard, Mehcad Brooks, Nathan Anderson, Phylicia Rashad, Sandra Ellis Lafferty, Tyler Perry
;225;
;226;
;227;Alfred Molina, Alison Brie, Anupam Kher, Cyndy Day, Dustin Milligan, Gerard Butler, Gretchen Mol, Julia Butters, Kathleen Munroe, Mimi Kuzyk, Stephen Bogaert, Willem Dafoe
;228;Clare Higgins, Paul Freeman, Simon Pegg
;229;Alejandro Goic, Aline Küppenheim, Amparo Noguera, Antonia Zegers, Daniela Vega, Francisco Reyes, Luis Gnecco, Néstor Cantillana, Nicolás Saavedra, Trinidad González
;230;Julian Barratt, Michael Smiley, Peter Ferdinando, Reece Shearsmith, Richard Glover, Ryan Pope
;231;Alexander Beyer, Rüdiger Vogler
;232;
;233;David Arquette, Emily Mortimer, Tim Blake Nelson
;234;
;235;Annette O'Toole, Ben F. Campbell, Camille Guaty, David Wain, Domhnall Gleeson, Emmy Rossum, Finn Wittrock, Frank Gingerich, Harry Groener, Joe Lo Truglio, Jon Klaft, Martin Mull, Morgan Gingerich, Natasha Lyonne, Paul Scheer, Seth Green, Thomas Lennon, Will Forte
;236;
;237;Barlow Jacobs, Casey Affleck, Dagger Salazar, Grover Coulson, Kenneisha Thompson, Liz Franke, McColm Cephas Jr., Richard Krause, Rooney Mara, Sonia Acevedo
;238;Hunter King, Jimmy Bennett, Lexi Ainsworth
;239;Hisako Ôkata, Kentez Asaka, Mariko Tsutsui, Mikako Ichikawa, Mitsuru Fukikoshi, Miyu Ozawa, Nahoko Kawasumi, Ren Sudo, Sôsuke Ikematsu
;240;
;241;Bill Murray, Charlie Sheen, Jason Schwartzman, Katheryn Winnick
;242;Alex LeVine, Erik Davis, Jesse Orion, Joshua Cooke, Laeo Mystwood, Nick Bostrom, Paul Gude, Philip K. Dick
;243;
;244;Bruce Willis, Jai Courtney
;245;
;246;Helen Hunt, Scarlett Johansson, Tom Wilkinson
;247;Andrew Simpson, Caolan Byrne, Edward Hogg, Jane Brennan, Macie McCauley, Packy Lee, Rudy Doherty, Sarah Bolger, Siobhan Kelly, Susan Ateh
;248;Albert Finney, Marion Cotillard, Russell Crowe
;249;Adam Shambour, Chris Peck, Danny August Mason, Mason Hendricks, Sean Wright
;250;Robert Downey Jr., Shia LaBeouf
;251;Jason Lee, Julia Stiles, Selma Blair
;252;Allison Janney, Anders Holm, Bradley Whitford, Common, Jennifer Garner, John Cho, Katie Holmes, Keanu Reeves, Kumail Nanjiani, Lola Glaudini, Marla Sokoloff, Nat Faxon, Rob Riggle, Storm Reid
;253;
;254;Essence Atkins, Marlon Wayans
;255;Cedric the Entertainer, Essence Atkins, Gabriel Iglesias, Jaime Pressly, Marlon Wayans
;256;Alexander Fehling, August Diehl, Bruno Ganz, Franz Rogowski, Joel Basman, Jürgen Prochnow, Karin Neuhäuser, Karl Markovics, Maria Simon, Mark Waschke, Martin Wuttke, Matthias Schoenaerts, Max Mauff, Michael Nyqvist, Tobias Moretti, Ulrich Matthes, Valerie Pachner
;257;
;258;Ed Harris, Maria Bello, Viggo Mortensen
;259;
;260;
;261;Alexander Black, Ben Whishaw, Sarita Choudhury, Tom Hanks
;262;Colin Farrell, Dallas Roberts, Robin Wright, Sissy Spacek
;263;
;264;Émilie Dequenne, Jean-Pierre Bacri
;265;
;266;Annabel O'Hagan, Chanté Adams, Cleveland Berto, Doris McCarthy, Grey Henson, Jalon Christian, Jasmine Batchelor, Joey Brooks, Marchánt Davis, Michael B. Jordan, Robert Wisdom, Spencer Squire, Susan Pourfar, Tamara Tunie, Vanessa Aspillaga
;267;Aasif Mandvi, Amy Landecker, Ann Dowd, Cindy Cheung, Claire Danes, Jim Parsons, Julia Taylor Ross, Kelly Deadmon, Lee Aaron Rosen, Leo James Davis, Octavia Spencer, Priyanka Chopra, Shaunette Renée Wilson
;268;Haley Bennett, Jessica Biel, Patrick Wilson, Vincent Kartheiser
;269;Heath Ledger, Mark Addy
;270;Andie Chen, Debabrota Basu, George Low, Ishtiaque Zico, Jack Tan, Kelvin Ho, Khalishan Liang, Luna Kwok, Peter Yu, Xiaoyi Liu, Yue Guo
;271;Catherine Keener, Christopher Walken, Mark Ivanir, Philip Seymour Hoffman
;272;Walter Ray Williams
;273;
;274;
;275;
;276;
;277;Gael García Bernal, Kate Hudson, Kathy Bates, Peter Dinklage
;278;Alan Rickman, Helen McCrory, Kate Winslet, Matthias Schoenaerts, Stanley Tucci
;279;
;280;
;281;Amanda Peet, Ashton Kutcher
;282;
;283;Peter Caffrey
;284;Gabriel Macht, John Travolta, Scarlett Johansson
;285;Larenz Tate, Timothy Olyphant, Vin Diesel
;286;
;287;
;288;
;289;
;290;
;291;Bernard Giraudeau, Jean-Pierre Lorit
;292;
;293;Avan Jogia, Charity Wakefield, Fran Kranz, Hamish Linklater, Lily Rabe, Mia Doi Todd, Paz de la Huerta, Rachael Leigh Cook, Saul Williams, Ted Levine
;294;Angelina Jolie, Archie Panjabi, Dan Futterman
;295;Christopher Guest, Eugene Levy, Harry Shearer, Michael McKean
;296;Aaron Taylor-Johnson, Andy Buckley, Billy Bob Thornton, Charles Parnell, Charlie Hunnam, Dash Mihok, David Dastmalchian, Eugene Byrd, Giovanni Ribisi, Juliette Lewis, Odessa Young, Ryan Hurst, Tom Amandes
;297;Amanda Seyfried, Charlize Theron, Liam Neeson, Neil Patrick Harris, Sarah Silverman, Seth MacFarlane
;298;Felicity Jones, Lewis MacDougall, Liam Neeson, Sigourney Weaver, Toby Kebbell
;299;
;300;Albert Brooks, Alessandro Nivola, Catalina Sandino Moreno, Christopher Abbott, David Oyelowo, Elyes Gabel, Jessica Chastain, Oscar Isaac, Peter Gerety
;301;Daniel Brühl, Philip Seymour Hoffman
;302;Alysia Reiner, Amanda Seyfried, Amy Irving, Brittany Robertson, Darren Goldstein, Finn Wittrock, Jennifer Carpenter, Josh Hamilton, Michael Gaston, Paul Giamatti
;303;
;304;
;305;Jackie Earle Haley, Kyle Gallner, Rooney Mara
;306;Benicio Del Toro, Eldar Residovic, Fedja Stukan, Mélanie Thierry, Olga Kurylenko, Sergi López, Tim Robbins
;307;Milla Jovovich, Steve Zahn, Timothy Olyphant
;308;
;309;Holger Andersson, Jonas Gerholm, Lotti Törnros, Nils Westblom, Ola Stensson, Viktor Gyllenberg
;310;Jeff Bridges, Ken Cook, Mariana Chilton, Raj Patel, Tom Colicchio
;311;
;312;Garrison Keillor, John C. Reilly, Lily Tomlin, Meryl Streep, Woody Harrelson
;313;Billy Moore, Chaloemporn Sawatsuk, Joe Cole, Komsan Polsan, Nicolas Shake, Panya Yimmumphai, Pornchanok Mabklang, Sakda Niamhom, Somlock Kamsing, Sura Sirmalai, Vithaya Pansringarm
;314;
;315;Alexandra Moen, Amanda Drew, Corey Johnson, Fady Elsayed, Faye Marsay, Greg Wise, Gurnita Kaur Kahlon, Hilton McRae, Imogen King, Jamie Dornan, Jeremie Laheurte, Jesuthasan Antonythasan, Natasha Jayetileke, Nikki Amuka Bird, Raad Rawi, Raman Srinivasan, Rosamund Pike, St
;316;
;317;Tahar Rahim
;318;
;319;Cade Woodward, Doris McCarthy, Emily Blunt, Evangelina Cavoli, Ezekiel Cavoli, John Krasinski, Leon Russom, Millicent Simmonds, Noah Jupe, Rhoda Pell
;320;Ashley Dyke, Barbara Singer, Blake DeLong, Brian Tyree Henry, Cillian Murphy, Djimon Hounsou, Emily Blunt, John Krasinski, Lauren-Ashley Cristiano, Marcus, Millicent Simmonds, Noah Jupe, Okieriete Onaodowan, Scoot McNairy, Sheri Fairchild, Silas Pereira-Olson, Wayne Duv
;321;Ben Warheit, Cherry Jones, Diego Luna, Elijah Boothe, Elle Fanning, Griffin Newman, Gus Birney, Jude Law, Kelly Rohrbach, Liev Schreiber, Olivia Boreham-Wing, Rebecca Hall, Selena Gomez, Suki Waterhouse, Suzanne Smith, Timothée Chalamet
;322;Charlotte Alexandra, Hiram Keller
;323;Fernando Trujillo, Richard Rasmussen
;324;
;325;
;326;
;327;Annabel Leventon, Bel Powley, Emily Watson, Jack Gordon, Jack Laskey, Mark Hadfield, Rupert Everett, Sarah Gadon, Tim Potter
;328;Ray Liotta, Vanessa Redgrave
;329;Keanu Reeves, Robert Downey Jr., Winona Ryder
;330;
;331;
;332;Diana Bolan, Jack Xagas, John Byrd, John Sorenson, Kim Donahue, Marge Summit, Pat Henschel, Tammy Donahue, Terry Donahue, Yvonne Zipter
;333;Leila Hatami, Peyman Moaadi, Sareh Bayat
;334;Michael Stuhlbarg, Richard Kind, Sari Lennick
;335;Amalia Vitale, Andy Nyman, Chris Morrell, David Holt, Emma Tate, Joe Sugg, John Sparkes, Justin Fletcher, Kate Harbour, Naomi McDonald, Richard Webber, Simon Greenall
;336;
;337;Michael Keaton, Robert Duvall
;338;
;339;
;340;Aoi Yuki, Kenshô Ono, Mayu Matsuoka, Megumi Han, Miyu Irino, Sachiko Kojima, Saori Hayami, Toshiyuki Toyonaga, Yui Ishikawa, Yûki Kaneko
;341;Andrew Rannells, Anna Kendrick, Aparna Nancherla, Blake Lively, Cyndy Day, Eric Johnson, Gia Sandhu, Glenda Braganza, Henry Golding, Ian Ho, Jean Smart, Jiah Mavji, Joshua Satine, Katherine Cullen, Kelly McCormack, Linda Cardellini, Melody Johnson, Rupert Friend, Sarah Ba
;342;
;343;Colin Firth, Julianne Moore, Matthew Goode
;344;Jason Isaacs, Jeffrey Wright, Joe Anderson, Kelly Reilly, Melissa Leo, Ophelia Lovibond, Sam Rockwell, Ted Levine, William H. Macy
;345;
;346;Alexis Légaré, Benoit Lapierre, Cédric Doyon, Jean-François Bouchard, Maxim Lemire, Ronald Yang
;347;Guy Pearce, Irma P. Hall, Lili Taylor
;348;
;349;Sven Wollter, Viveka Seldahl
;350;Ben Kingsley, Catherine McCormack, Edward Burns
;351;
;352;Alec Baldwin, Andrew Dice Clay, Anthony Ramos, Bonnie Somerville, Bradley Cooper, D.J. 'Shangela' Pierce, Dave Chappelle, Eddie Griffin, Greg Grunberg, Lady Gaga, Marlon Williams, Michael Harney, Rafi Gavron, Sam Elliott, Willam Belli
;353;
;354;Anthony Head, Bob the Cat, Joanne Froggatt, Luke Treadaway, Ruta Gedmintas
;355;Natalie Portman
;356;
;357;
;358;Daniel Joey Albright, Gwi-hwa Choi, Hye-jin Yu, Hyuk-kwon Park, Jun-yeol Ryu, Kang-ho Song, Thomas Kretschmann
;359;
;360;Maria Ressa, Pia Ranada, Rodrigo R. Duterte
;361;Juan Carlos Ortuño
;362;Eddie Murphy
;363;
;364;
;365;
;366;
;367;
;368;
;369;
;370;Audrey Tautou, Gaspard Ulliel, Jodie Foster
;371;Betsy Aidem, C.J. Wilson, Cheryse Dyllan, Chuck Cooper, Crystal Lake Evans, David Shumbris, Estefania Tejeda, Jim Ford, Judy Marte, Kyle Catlett, Morgan Spector, Olivia Gilliatt, Olivia Wilde, Tonye Patano
;372;Astro, Boyd Holbrook, Dan Stevens, David Harbour, Liam Neeson
;373;Emma Thompson, Kristen Schaal, Mary Steenburgen, Nick Nolte, Nick Offerman, Robert Redford
;374;Mandy Moore, Shane West
;375;
;376;
