Award_ID;Movie_ID;Title;Award
107;107;3 Needles;
108;108;3 Strikes;
109;109;3, 2, 1... Frankie Go Boom;
110;110;3:10 to Yuma;#56BestMovieof2007 , #27MostDiscussedMovieof2007 , #85MostSharedMovieof2007
111;111;30 Beats;
112;112;30 Days of Night;#49MostDiscussedMovieof2007 , #35MostSharedMovieof2007
113;113;30 Minutes or Less;#79MostDiscussedMovieof2011
114;114;300;#5MostDiscussedMovieof2007 , #1MostSharedMovieof2007
115;115;300: Rise of an Empire;#35MostDiscussedMovieof2014 , #52MostSharedMovieof2014
116;116;3000 Miles to Graceland;#93MostDiscussedMovieof2001
117;117;306 Hollywood;
118;118;31;
119;119;33 Postcards;
120;120;35 Shots of Rum;#3BestMovieof2009 , #86MostSharedMovieof2009
121;121;360;
122;122;39 Pounds of Love;
123;123;3-D Sex and Zen: Extreme Ecstasy;#9MostSharedMovieof2011
124;124;3-Iron;#90BestMovieof2005
125;125;4;#96BestMovieof2006
126;126;4 Days in France;
127;127;4 Months, 3 Weeks and 2 Days;#1BestMovieof2008 , #52MostDiscussedMovieof2008 , #16MostSharedMovieof2008
128;128;4:44 Last Day on Earth;#98MostSharedMovieof2012
129;129;40 Days and 40 Nights;
130;130;40 Years in the Making: The Magic Music Movie;
131;131;42;#79MostDiscussedMovieof2013 , #71MostSharedMovieof2013
132;132;44 Inch Chest;
133;133;45 Years;#2BestMovieof2015 , #40MostSharedMovieof2015
134;134;45365;#9BestMovieof2010
135;135;47 Meters Down;#89MostDiscussedMovieof2017
136;136;47 Meters Down: Uncaged;
137;137;47 Ronin;#43MostDiscussedMovieof2013 , #62MostSharedMovieof2013
138;138;49 Up;#20BestMovieof2006
139;139;4th Man Out;
140;140;5 Broken Cameras;#54BestMovieof2012
141;141;5 Days of War;
142;142;5 Flights Up;
143;143;5 Star Day;
144;144;5 to 7;
145;145;50 First Dates;#48MostDiscussedMovieof2004 , #27MostSharedMovieof2004
146;146;50/50;#47MostDiscussedMovieof2011 , #52MostSharedMovieof2011
147;147;51 Birch Street;#46BestMovieof2006
148;148;52 Tuesdays;
149;149;56 Up;#28BestMovieof2013
150;150;5x2;
151;151;6 Balloons;
152;152;6 Days;
153;153;6 Month Rule;
154;154;6 Souls;
155;155;6 Underground;#41MostDiscussedMovieof2019
156;156;63 Up;#9BestMovieof2019
157;157;69: The Saga of Danny Hernandez;
158;158;6ixtynin9;
159;159;7 Boxes;
160;160;7 Chinese Brothers;
161;161;7 Days in Entebbe;
162;162;7 Days in September;#64BestMovieof2002
163;163;7 Minutes;
164;164;7 Prisoners;#87BestMovieof2021
165;165;'71;#35BestMovieof2015
166;166;71 Fragments of a Chronology of Chance;
167;167;7500;
168;168;76 Days;#28BestMovieof2020
169;169;78/52: Hitchcock’s Shower Scene;
170;170;8 ½ Women;#100MostSharedMovieof2000
171;171;8 Mile;#44BestMovieof2002 , #11MostDiscussedMovieof2002 , #4MostSharedMovieof2002
172;172;8 Women;
173;173;8: The Mormon Proposition;
174;174;800 Bullets;
175;175;88 Minutes;#29MostSharedMovieof2008
176;176;9;#40MostDiscussedMovieof2009 , #1MostSharedMovieof2009
177;177;9 Dead Gay Guys;
178;178;9 Songs;#9MostSharedMovieof2005
179;179;90 Minutes in Heaven;
180;180;95 Miles to Go;
181;181;96 Minutes;
182;182;99 Homes;#100MostSharedMovieof2015
183;183;99%: The Occupy Wall Street Collaborative Film;
184;184;A Bad Moms Christmas;
185;185;A Bag of Hammers;
186;186;A Bag of Marbles;
187;187;A Band Called Death;#72BestMovieof2013
188;188;A Beautiful Day in the Neighborhood;#76BestMovieof2019 , #73MostDiscussedMovieof2019
189;189;A Beautiful Life;
190;190;A Beautiful Mind;#81BestMovieof2001 , #15MostDiscussedMovieof2001 , #16MostSharedMovieof2001
191;191;A Better Life;
192;192;A Bigger Splash;
193;193;A Birder's Guide to Everything;
194;194;A Borrowed Identity;
195;195;A Bottle in the Gaza Sea (Une bouteille à la mer);
196;196;A Boy Called Christmas;
197;197;A Brave Heart: The Lizzie Velasquez Story;
198;198;A Bread Factory Part One: For the Sake of Gold;#8BestMovieof2018
199;199;A Bread Factory Part Two: Walk With Me a While;#7BestMovieof2018
200;200;A Brilliant Young Mind;
201;201;A Call to Spy;
202;202;A Case of You;
203;203;A Cat in Paris;
204;204;A Christmas Carol;#82MostDiscussedMovieof2009 , #77MostSharedMovieof2009
205;205;A Christmas Tale;#10BestMovieof2008
206;206;A Ciambra;
207;207;A Cinderella Story;#69MostDiscussedMovieof2004 , #31MostSharedMovieof2004
208;208;A Coffee In Berlin;
209;209;A Common Thread;
210;210;A Cop Movie;
211;211;A Country Called Home;
212;212;A Crooked Somebody;
213;213;A Cure for Wellness;#67MostDiscussedMovieof2017 , #72MostSharedMovieof2017
214;214;A Dangerous Method;#65BestMovieof2011 , #89MostSharedMovieof2011
215;215;A Dark Place;
216;216;A Day Without a Mexican;#48MostSharedMovieof2004
217;217;A Decade Under the Influence;
218;218;A Decent Factory;
219;219;A Dirty Shame;#72MostSharedMovieof2004
220;220;A Dog's Journey;
221;221;A Dog's Purpose;#82MostSharedMovieof2017
222;222;A Dog's Way Home;
223;223;A Faithful Man;
224;224;A Fall from Grace;
225;225;A Family Affair;
226;226;A Family Affair;
227;227;A Family Man;
228;228;A Fantastic Fear of Everything;
229;229;A Fantastic Woman;#25BestMovieof2017 , #94MostSharedMovieof2017
230;230;A Field in England;
231;231;A Film Unfinished;#6BestMovieof2010
232;232;A Five Star Life;
233;233;A Foreign Affair;
234;234;A Fragile Trust;
235;235;A Futile and Stupid Gesture;
236;236;A Gay Girl in Damascus: The Amina Profile;
237;237;A Ghost Story;#47BestMovieof2017 , #66MostDiscussedMovieof2017 , #61MostSharedMovieof2017
238;238;A Girl Like Her;
239;239;A Girl Missing;
240;240;A Girl Walks Home Alone at Night;#49BestMovieof2014 , #91MostSharedMovieof2014
241;241;A Glimpse Inside the Mind of Charles Swan III;
242;242;A Glitch in the Matrix;
243;243;A Good Baby;
244;244;A Good Day to Die Hard;#32MostDiscussedMovieof2013 , #45MostSharedMovieof2013
245;245;A Good Old Fashioned Orgy;
246;246;A Good Woman;#53MostSharedMovieof2006
247;247;A Good Woman Is Hard to Find;
248;248;A Good Year;
249;249;A Gray State;
250;250;A Guide to Recognizing Your Saints;
251;251;A Guy Thing;
252;252;A Happening of Monumental Proportions;
253;253;A Hard Day;
254;254;A Haunted House;#85MostDiscussedMovieof2013
255;255;A Haunted House 2;
256;256;A Hidden Life;#99BestMovieof2019
257;257;A Hijacking;#34BestMovieof2013
258;258;A History of Violence;#25BestMovieof2005 , #6MostDiscussedMovieof2005 , #41MostSharedMovieof2005
259;259;A Hole in My Heart;
260;260;A Hole in One;
261;261;A Hologram for the King;
262;262;A Home at the End of the World;
263;263;A House on a Hill;
264;264;A Housekeeper;
265;265;A Jihad for Love;
266;266;A Journal for Jordan;
267;267;A Kid Like Jake;
268;268;A Kind of Murder;
269;269;A Knight's Tale;#41MostDiscussedMovieof2001 , #55MostSharedMovieof2001
270;270;A Land Imagined;
271;271;A Late Quartet;
272;272;A League of Ordinary Gentlemen;
273;273;A LEGO Brickumentary;
274;274;A Letter to Momo;
275;275;A Letter to True;
276;276;A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman;
277;277;A Little Bit of Heaven;#58MostSharedMovieof2012
278;278;A Little Chaos;
279;279;A Little Help;
280;280;A Long Way Down;
281;281;A Lot Like Love;#77MostSharedMovieof2005
282;282;A Love Affair of Sorts;
283;283;A Love Divided;
284;284;A Love Song for Bobby Long;
285;285;A Man Apart;
286;286;A Man Called Ove;
287;287;A Man Named Pearl;
288;288;A Man's Gotta Do;
289;289;A Man's Story;
290;290;A Master Builder;
291;291;A Matter of Taste;#69BestMovieof2001
292;292;A Merry Friggin' Christmas;
293;293;A Midsummer Night's Dream;
294;294;A Mighty Heart;#72BestMovieof2007
295;295;A Mighty Wind;#26BestMovieof2003 , #56MostSharedMovieof2003
296;296;A Million Little Pieces;
297;297;A Million Ways to Die in the West;#44MostDiscussedMovieof2014
298;298;A Monster Calls;#99BestMovieof2016 , #93MostSharedMovieof2016
299;299;A Monster with a Thousand Heads;
300;300;A Most Violent Year;#62BestMovieof2014 , #80MostDiscussedMovieof2014 , #87MostSharedMovieof2014
301;301;A Most Wanted Man;#95MostDiscussedMovieof2014
302;302;A Mouthful of Air;
303;303;A Murder in the Park;
304;304;A Night in Old Mexico;
305;305;A Nightmare on Elm Street;#32MostDiscussedMovieof2010
306;306;A Perfect Day;
307;307;A Perfect Getaway;#98MostDiscussedMovieof2009
308;308;A Piece of Eden;
309;309;A Pigeon Sat on a Branch Reflecting on Existence;#56BestMovieof2015
310;310;A Place at the Table;
311;311;A Poem Is a Naked Person;
312;312;A Prairie Home Companion;#62BestMovieof2006 , #82MostDiscussedMovieof2006
313;313;A Prayer Before Dawn;
314;314;A Previous Engagement;
315;315;A Private War;
316;316;A Promise;
317;317;A Prophet;#5BestMovieof2010 , #92MostSharedMovieof2010
318;318;A Quiet Passion;
319;319;A Quiet Place;#56BestMovieof2018 , #9MostDiscussedMovieof2018 , #3MostSharedMovieof2018
320;320;A Quiet Place Part II;#31MostDiscussedMovieof2021 , #6MostSharedMovieof2021
321;321;A Rainy Day in New York;
322;322;A Real Young Girl;#4MostSharedMovieof2001
323;323;A River Below;#67BestMovieof2017
324;324;A River Changes Course;#69BestMovieof2013
325;325;A Room for Romeo Brass;
326;326;A Royal Affair;#97BestMovieof2012
327;327;A Royal Night Out;
328;328;A Rumor of Angels;
329;329;A Scanner Darkly;#78BestMovieof2006 , #64MostDiscussedMovieof2006
330;330;A Screaming Man;#96BestMovieof2011
331;331;A Secret;#71BestMovieof2008
332;332;A Secret Love;#91BestMovieof2020
333;333;A Separation;#1BestMovieof2011 , #57MostDiscussedMovieof2011 , #32MostSharedMovieof2011
334;334;A Serious Man;#18BestMovieof2009 , #33MostDiscussedMovieof2009 , #68MostSharedMovieof2009
335;335;A Shaun the Sheep Movie: Farmageddon;#75BestMovieof2020
336;336;A Short History of Decay;
337;337;A Shot at Glory;
338;338;A Sidewalk Astronomer;
339;339;A Silent Love;
340;340;A Silent Voice;#95BestMovieof2017 , #93MostDiscussedMovieof2017
341;341;A Simple Favor;#61MostDiscussedMovieof2018 , #74MostSharedMovieof2018
342;342;A Simple Life;#57BestMovieof2012
343;343;A Single Man;#55BestMovieof2009 , #81MostDiscussedMovieof2009 , #82MostSharedMovieof2009
344;344;A Single Shot;
345;345;A Sinner in Mecca;
346;346;A Skin So Soft;
347;347;A Slipping-Down Life;
348;348;A Somewhat Gentle Man;
349;349;A Song for Martin;#78BestMovieof2001
350;350;A Sound of Thunder;
351;351;A Space Program;
352;352;A Star Is Born;#21BestMovieof2018 , #7MostDiscussedMovieof2018 , #5MostSharedMovieof2018
353;353;A State of Mind;
354;354;A Street Cat Named Bob;
355;355;A Tale of Love and Darkness;
356;356;A Tale of Two Sisters;#67MostDiscussedMovieof2004 , #93MostSharedMovieof2004
357;357;A Talking Picture;#61BestMovieof2004
358;358;A Taxi Driver;
359;359;A Teacher;#95MostSharedMovieof2013
360;360;A Thousand Cuts;#51BestMovieof2020
361;361;A Thousand Peace Clouds Encircle the Sky;
362;362;A Thousand Words;
363;363;A Thousand Years of Good Prayers;
364;364;A Time for Drunken Horses;#30BestMovieof2000
365;365;A Touch of Sin;#74BestMovieof2013
366;366;A Town Called Panic;
367;367;A United Kingdom;
368;368;A Very British Gangster;
369;369;A Very Harold & Kumar Christmas;
370;370;A Very Long Engagement;#54BestMovieof2004
371;371;A Vigilante;
372;372;A Walk Among the Tombstones;#89MostDiscussedMovieof2014
373;373;A Walk in the Woods;
374;374;A Walk to Remember;#28MostDiscussedMovieof2002 , #10MostSharedMovieof2002
375;375;A War;#56BestMovieof2016
376;376;A Warrior's Heart;
377;377;A Week Away;
378;378;A Whale of a Tale;
379;379;A White, White Day;#56BestMovieof2020
380;380;A Wolf at the Door;
381;381;A Woman in Berlin;#76BestMovieof2009
382;382;A Woman Is a Woman;#85BestMovieof2003
383;383;A Woman, a Gun and a Noodle Shop;
384;384;A Woman, a Part;
385;385;A Woman's Life;
386;386;A Wrinkle in Time;#43MostDiscussedMovieof2018 , #22MostSharedMovieof2018
387;387;A Year Without Love;
388;388;A.C.O.D.;
389;389;A.I. Artificial Intelligence;#16MostDiscussedMovieof2001 , #37MostSharedMovieof2001
390;390;A.X.L.;
391;391;A/k/a Tommy Chong;
392;392;À cause d'un garçon;
393;393;À Tout de Suite (Right Now);
394;394;Ça commence aujourd'hui;#33BestMovieof2000
395;395;Æon Flux;#34MostDiscussedMovieof2005 , #63MostSharedMovieof2005
396;396;Évocateur: The Morton Downey Jr. Movie;
397;397;Aardvark;
398;398;Abacus: Small Enough to Jail;
399;399;Abandon;
400;400;Abattoir;
401;401;ABC Africa;#73BestMovieof2002
402;402;ABCD;
403;403;ABCs of Death 2;
404;404;Abduction;#84MostDiscussedMovieof2011 , #78MostSharedMovieof2011
405;405;Abduction: The Megumi Yokota Story;
406;406;Abe;
407;407;Aberdeen;#39BestMovieof2001
408;408;Abigail Harm;
409;409;Abominable;
410;410;Abortion: Stories Women Tell;#81BestMovieof2016
411;411;About a Boy;#60BestMovieof2002 , #48MostDiscussedMovieof2002 , #50MostSharedMovieof2002
412;412;About Adam;
413;413;About Alex;
414;414;About Cherry;
415;415;About Elly (2009);#20BestMovieof2015
416;416;About Endlessness;#22BestMovieof2021
417;417;About Last Night;
418;418;About Schmidt;#11BestMovieof2002 , #54MostDiscussedMovieof2002 , #57MostSharedMovieof2002
419;419;About Time;#86MostDiscussedMovieof2013 , #41MostSharedMovieof2013
420;420;Above and Beyond;
421;421;Above Suspicion;
422;422;Abraham Lincoln: Vampire Hunter;#53MostDiscussedMovieof2012
423;423;Absolute Wilson;
424;424;Absolutely Anything;
425;425;Absolutely Fabulous: The Movie;
426;426;Abundant Acreage Available;
427;427;Abuse of Weakness;#75BestMovieof2014
428;428;Acasă, My Home;#58BestMovieof2021
429;429;Accepted;#41MostSharedMovieof2006
430;430;Accidental Courtesy: Daryl Davis, Race & America;
431;431;Accidental Love;
432;432;Across the Universe;#32MostDiscussedMovieof2007 , #70MostSharedMovieof2007
433;433;Act of Valor;#73MostDiscussedMovieof2012
434;434;Action Point;
435;435;Active Measures;
436;436;Actor Martinez;
437;437;Actress;#87BestMovieof2014
438;438;Acts of Worship;
439;439;Ad Astra;#74BestMovieof2019 , #14MostDiscussedMovieof2019
440;440;Adam;
441;441;Adam;
442;442;Adam & Steve;
443;443;Adam Resurrected;
444;444;Adam's Apples;
445;445;Adanggaman;#96BestMovieof2001
446;446;Adaptation.;#19BestMovieof2002 , #22MostDiscussedMovieof2002 , #87MostSharedMovieof2002
447;447;Addicted;#68MostSharedMovieof2014
448;448;Addicted to Fresno;
449;449;Addiction Incorporated;
450;450;Admission;
451;451;Adopt a Highway;
452;452;Adoration;
453;453;Adore;
454;454;Adored;
455;455;Adorenarin doraibu;
456;456;Adrift;#76MostSharedMovieof2018
457;457;Adult Beginners;
458;458;Adult Life Skills;
459;459;Adult World;
460;460;Advanced Style;
461;461;Advantageous;
462;462;Adventureland;#62BestMovieof2009 , #42MostDiscussedMovieof2009 , #97MostSharedMovieof2009
463;463;Adventures of Power;
464;464;Adventures of the Penguin King;
465;465;Ae Fond Kiss...;
466;466;Aferim!;#28BestMovieof2016
467;467;Affluenza;
468;468;Afghan Star;#53BestMovieof2009
469;469;African Cats;
470;470;After;
471;471;After;#39MostSharedMovieof2019
472;472;After Auschwitz;
473;473;After Earth;#28MostDiscussedMovieof2013 , #44MostSharedMovieof2013
474;474;After Everything;
475;475;After Fall, Winter;
476;476;After Innocence;#76BestMovieof2005
477;477;After Love;
478;478;After Midnight;
479;479;After Parkland;
480;480;After the Cup: Sons of Sakhnin United;
481;481;After the Dark;
482;482;After The Fall;
483;483;After the Life;#90BestMovieof2004
484;484;After the Storm;#41BestMovieof2017
485;485;After the Sunset;
486;486;After the Wedding;#46BestMovieof2007
487;487;After the Wedding;
488;488;After Tiller;#97BestMovieof2013
489;489;After Words;
490;490;After.Life;#37MostSharedMovieof2010
491;491;Afterimage;
492;492;Aftermath;
493;493;Aftermath;
494;494;Aftermath;
495;495;Afternoon Delight;
496;496;Afternoon of a Faun: Tanaquil Le Clercq;#95BestMovieof2014
497;497;Afterschool;
498;498;Aftershock;
499;499;Against the Ropes;
500;500;Age of Uprising: The Legend of Michael Kohlhaas;
501;501;Agent Cody Banks;#58MostSharedMovieof2003
502;502;Agent Cody Banks 2: Destination London;
503;503;Agnes;
504;504;Agnes and His Brothers;
505;505;Agora;
506;506;Ahead of Time;#80BestMovieof2010
507;507;Ai Weiwei: Never Sorry;#36BestMovieof2012
508;508;Ai Weiwei: The Fake Case;
509;509;Aileen: Life and Death of a Serial Killer;
510;510;Ailey;
511;511;Aimee & Jaguar;#76BestMovieof2000
512;512;Ain't in It for My Health: A Film About Levon Helm;#79BestMovieof2013
513;513;Ain't Them Bodies Saints;
514;514;Air Guitar Nation;
515;515;Ajami;#22BestMovieof2010
516;516;AKA;
517;517;Akeelah and the Bee;#98BestMovieof2006 , #76MostSharedMovieof2006
518;518;Akilla's Escape;
519;519;Al Franken: God Spoke;
520;520;Aladdin;#16MostDiscussedMovieof2019 , #28MostSharedMovieof2019
521;521;Alamar (To the Sea);#50BestMovieof2010
522;522;Alan Partridge;
523;523;Albatross;
524;524;Albert Nobbs;
525;525;Alex & Emma;
526;526;Alex Cross;
527;527;Alex of Venice;
528;528;Alex Rider: Operation Stormbreaker;
529;529;Alex Strangelove;
530;530;Alexander;#53MostDiscussedMovieof2004 , #35MostSharedMovieof2004
531;531;Alexander and the Terrible, Horrible, No Good, Very Bad Day;
532;532;Alexandra;#8BestMovieof2008
533;533;Alfie;
534;534;Ali;#86MostDiscussedMovieof2001 , #91MostSharedMovieof2001
535;535;Ali G Indahouse;
536;536;Alias Betty;#75BestMovieof2002
537;537;Alice;
538;538;Alice et Martin;
539;539;Alice in Wonderland;#14MostDiscussedMovieof2010 , #19MostSharedMovieof2010
540;540;Alice Neel;
541;541;Alice Through the Looking Glass;#46MostDiscussedMovieof2016 , #78MostSharedMovieof2016
542;542;Alice's House;
543;543;Alien Abduction;
544;544;Alien Girl;
545;545;Alien Outpost;
546;546;Alien Trespass;
547;547;Alien: Covenant;#10MostDiscussedMovieof2017 , #13MostSharedMovieof2017
548;548;Aliens in the Attic;
549;549;Aliens of the Deep;
550;550;Alila;
551;551;Alita: Battle Angel;#5MostDiscussedMovieof2019 , #9MostSharedMovieof2019
552;552;Alive Inside;
553;553;Aliyah;
554;554;All About Lily Chou-Chou;#67BestMovieof2002
555;555;All About Nina;
556;556;All About Steve;#75MostDiscussedMovieof2009
557;557;All About the Benjamins;
558;558;All Access: Front Row. Backstage. Live!;
559;559;All Cheerleaders Die;
560;560;All Day and a Night;
561;561;All Eyez on Me;#79MostSharedMovieof2017
562;562;All Good Things;
563;563;All I Can Say;
564;564;All I See Is You;
565;565;All I Wish;
566;566;All In: The Fight for Democracy;#77BestMovieof2020
567;567;All In: The Poker Movie;
568;568;All Is Bright;
569;569;All Is Forgiven (2007);#39BestMovieof2021
570;570;All Is Lost;#12BestMovieof2013 , #60MostDiscussedMovieof2013
571;571;All Is True;
572;572;All Is Well;#82BestMovieof2019
573;573;All Light, Everywhere;
574;574;All My Life;
575;575;All My Loved Ones;
576;576;All or Nothing;#80BestMovieof2002
577;577;All Over the Guy;
578;578;All Relative;
579;579;All Saints;
580;580;All the Boys Love Mandy Lane;
581;581;All the Bright Places;
582;582;All the King's Men;
583;583;All the Light in the Sky;
584;584;All the Money in the World;#83MostDiscussedMovieof2017 , #92MostSharedMovieof2017
585;585;All the Pretty Horses;
586;586;All the Queen's Men;
587;587;All the Rage;
588;588;All the Real Girls;#81BestMovieof2003
589;589;All the Wilderness;
590;590;All These Sleepless Nights;
591;591;All These Small Moments;
592;592;All Things Must Pass;
593;593;All This Panic;
594;594;All Together;
595;595;All Together Now;
596;596;All We Had;
597;597;Alléluia;
598;598;Allah Made Me Funny: Live in Concert;
599;599;Allegiance;
600;600;Allied;#86MostSharedMovieof2016
601;601;All's Faire in Love;
602;602;Allure;
603;603;Almost Christmas;
604;604;Almost Famous;#4BestMovieof2000 , #14MostDiscussedMovieof2000 , #33MostSharedMovieof2000
605;605;Almost Holy;
606;606;Almost Love;
607;607;Almost Peaceful;
608;608;Almost There;
609;609;Aloft;
610;610;Aloha;
611;611;Alone;#91MostDiscussedMovieof2020
612;612;Alone in Berlin;
613;613;Alone in the Dark;#59MostDiscussedMovieof2005 , #42MostSharedMovieof2005
614;614;Alone with Her;
615;615;Along Came a Spider;#67MostDiscussedMovieof2001
616;616;Along Came Polly;#81MostDiscussedMovieof2004 , #80MostSharedMovieof2004
617;617;Alpha;#80MostSharedMovieof2018
618;618;Alpha and Omega;#74MostSharedMovieof2010
619;619;Alpha Dog;#94MostSharedMovieof2007
620;620;Alps;
621;621;Already Tomorrow in Hong Kong;
622;622;Alvin and the Chipmunks;#55MostDiscussedMovieof2007 , #34MostSharedMovieof2007
623;623;Alvin and the Chipmunks: Chipwrecked;#86MostDiscussedMovieof2011
624;624;Alvin and the Chipmunks: The Road Chip;#92MostDiscussedMovieof2015 , #69MostSharedMovieof2015
625;625;Alvin and the Chipmunks: The Squeakquel;#63MostDiscussedMovieof2009 , #81MostSharedMovieof2009
626;626;Always at The Carlyle;
627;627;Always Be My Maybe;
628;628;Always in Season;
629;629;Always Shine;
630;630;Always Woodstock;
631;631;Amélie;#97BestMovieof2001 , #9MostDiscussedMovieof2001 , #38MostSharedMovieof2001
632;632;Amanda Knox;#77BestMovieof2016
633;633;Amandla! A Revolution in Four Part Harmony;#41BestMovieof2003
634;634;Amazing Grace;
635;635;Amazing Grace;#2BestMovieof2018
636;636;Amelia;
637;637;Amen.;
638;638;Amer;#93BestMovieof2010
639;639;America the Beautiful;
640;640;America: Freedom to Fascism;
641;641;America: Imagine a World Without Her;#83MostDiscussedMovieof2014
642;642;America: The Motion Picture;
643;643;American Adobo;
644;644;American Animal;
645;645;American Animals;
646;646;American Assassin;#87MostDiscussedMovieof2017
647;647;American Blackout;
648;648;American Cannibal: The Road to Reality;
649;649;American Casino;
650;650;American Chai;
651;651;American Chaos;
652;652;American Desi;#79MostDiscussedMovieof2001
653;653;American Dharma;
654;654;American Dreamz;
655;655;American Fable;
656;656;American Factory;#23BestMovieof2019
657;657;American Folk;
658;658;American Gangster;#59BestMovieof2007 , #35MostDiscussedMovieof2007 , #38MostSharedMovieof2007
659;659;American Gun;
660;660;American Hardcore;
661;661;American Honey;#65BestMovieof2016
662;662;American Hustle;#9BestMovieof2013 , #13MostDiscussedMovieof2013 , #37MostSharedMovieof2013
663;663;American Made;#71MostDiscussedMovieof2017 , #57MostSharedMovieof2017
664;664;American Made Movie;
665;665;American Mary;
666;666;American Outlaws;
667;667;American Pastoral;
668;668;American Pie 2;#42MostDiscussedMovieof2001 , #8MostSharedMovieof2001
669;669;American Pimp;
670;670;American Promise;
